"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"V1",0,0,0,0.0803101919552879,0,-0.00165118447448041,0.0521450677414152,0,0,0,0,0,0.222821130675268,0,0,-0.0054962784494307,0.042003965430324,0,0,0
"V2",0,0,0,0,0,0.000626324814500555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V3",0,0,0,5.66326294722514e-05,0.00374686035814243,0,0,-0.0017036796620143,-0.0899861891788637,-0.141380860296744,0,0,0,0,0,-0.00794376029885822,0,0,0,0
"V4",0,0,0,0,0,0.0831207272985326,0,0,0,-0.300618140943055,0,0,0,0,-0.0381545777705632,0.00354516799203275,0.204846658268334,-0.155977132609204,0.200608347673233,0
"V5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0,0,0,-0.318663987559823,0,0,-0.0661421376154922,0,-0.0191076477066841,0,0,-0.000210275662367998,-0.161816154603178,0.0116919396057494,0,0,0,0,0,0
"V7",0,0,0,0.0145038913583977,-0.0447535287069437,0,0,0.00669018884981451,0,0,0,0,0,-0.424800741664523,0,-0.0163569392328807,0,-0.0133491652883055,-0.0158100205297179,-0.00264376376426371
"V8",0.00538609619403796,0,0,0,0,0,0.00441168715156024,0,0,-0.010195126754129,0,0.0207191605150142,0,0,0,0,0,0,0.00329193534394909,0
"V9",0,0,0,0,0,0,0,0,0,0.0311574376910295,0,0.108629730829217,0,0,0,0,0,0,0,0
"V10",0,0,0,-0.092048886455346,0,0,0,0.105469291113418,0,0,0.0401340303891574,0,0,0,0,0,-0.0648433815785572,0.170268966023163,-0.319524432661417,0
"V11",0,0.110109452602334,0.13736585673939,0.0209233175758672,0,0,0,0,0,-0.166727097679415,0,0,-0.0413275858743003,0,0,0,0.0321037236422675,0,0,0
"V12",0,0,0,0,0,0.00645051242829262,0,0,-0.260251206306498,-0.107690159174939,0,0,-0.0770280683642787,0,0,0,0,0,0.414125183413687,0
"V13",0,0,0,0,-0.0467231753685689,0,0.631951249169192,0,0.0460257189879782,0,0,0,0,-0.154646770440054,0,0,0,-0.119230837701472,0,0
"V14",-0.000587441502472301,0,0,-0.0272610850238446,0,0,0,0,0,0.0046578627646094,0,0,-0.0291609841827277,0,0.00263514536976998,0,0,0.00897262097647253,0,0
"V15",0,0,0,0,0,0,-0.00476680427846231,0,0,0,0,0,-0.0320936289757769,0,0,0,0.183456916951006,0,0,-0.0949219013978341
"V16",0,0,0,0.0493599360176481,-0.0818874925382895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V17",0,0,0,0,0,0,0,0,-0.0887146480003843,0,0,0,0,0,-0.0666537373630455,-0.102857263947386,0,-0.0154850074732801,0,0
"V18",0,0.157699726879387,0,0,0,0,0,0,0,0,0.220497584407611,0,0,0,0.0353446717983324,0,0,0,0,0
"V19",-0.120520926227074,0,0.160984921037107,-0.0931223282457064,0,0.0681769027031897,-0.0234138683137311,-0.313273663016121,0,0,0.014224434364078,-0.15221963003326,-0.20437553541427,0,0,0,0,0,0,0
"V20",0,0,0,0.0103640097504666,0,-0.0886326467989754,0,0,0,0,0,0,0.102337332095059,0,0,0,0,0,0.112755929196478,0
