"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"V1",1,NA,0.0323813497857657,0.114408726073873,0.30212361183713,-0.121375470896384,0.0266417491319771,0.094103397482464,-0.0268294881887644,-0.226302815956958,-0.790344499875221,0.109254750028321,0.359365485998475,0.161198687572926,-0.536361016911297,-0.0243536481300194,-0.505918142829696,-0.266801818161175,-0.0624696721988181,-0.384895846476359
"V2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V3",0.370823639453515,NA,1,-0.380415273431409,0.665040632680218,0.00534856389657946,0.0385731147910686,0.101252266199029,-0.132486105566283,0.155729941034085,0.142242007424851,-0.0264176354345911,0.109766450181798,0.0244303640555507,0.0463765647987943,0.151971518426995,-0.193166944940472,-0.10796542489819,-0.126583179682857,-0.0964684001790233
"V4",0.483204436501431,NA,-0.149330339357148,1,-0.298668511794861,-0.4139176014462,0.270351278405638,0.00295237793872493,0.315999950866082,0.263594401845468,-0.435662584941677,0.516196262557758,0.111745908991384,-0.18016937809191,-0.159989073659483,0.305556904083678,-0.402145485748452,-0.383305943302972,-0.014480026846838,-0.552399656430276
"V5",-0.167495716679587,NA,0.0320890045302268,0.0629979226548186,1,-0.0808036573475295,0.0961290281162089,0.0551166026012151,-0.157407541498306,-0.246202182419965,-0.0388387512344624,-0.0732914320417075,-0.371835235966719,0.256434507116836,0.282467676826551,-0.222012619892486,0.369767255581402,0.167687629945736,-0.10633482300462,0.241298795923775
"V6",-0.359039187320705,NA,0.245180001050832,-0.68450234694653,0.073577598001972,1,-0.466259420723494,0.421939597468278,-0.0058443517525199,0.506667052104049,-0.000459638322822841,0.185914767817514,0.0917262760664888,0.193684777759009,-0.137310500299224,0.726733060255256,-0.293092999215894,-0.14742903359272,-0.189298967144082,0.288150987280645
"V7",0.174889497695447,NA,-0.245080311428923,-0.133168569226953,0.204419170833918,-0.68135557203284,1,0.249404616059103,0.524906419718892,0.0428798211507632,-0.224923686691265,0.0349715359012898,0.555366844033384,-0.604272501364558,-0.540085681703887,-0.0740388521691627,-0.458503651509947,-0.336081061258823,-0.143290150964436,-0.196623209402245
"V8",0.366727074085624,NA,-0.146528236812245,0.135991306974711,0.0616085828894546,-0.249609002560787,0.718271459621602,1,0.038027629203709,-0.31384157245919,-0.233121133689832,-0.310198041106609,-0.0331904138060673,-0.395006469845929,-0.164445325635569,-0.121376254928419,0.219264841251518,-0.0795876416739254,0.318642742293641,0.118716821183418
"V9",-0.0920298652300834,NA,0.127794307599522,0.396068133404937,0.287851910999269,0.174596014342188,-0.220350107800175,0.286182373401119,1,0.479126846431678,-0.159993871583207,0.35769434063573,0.428999727730605,-0.206517125092481,-0.654774407734837,0.0908879720930897,-0.441498454398427,-0.363988805707923,-0.350656370773517,-0.0101922087146151
"V10",-0.0476975680798401,NA,0.607132433812788,-0.548246276544768,-0.297344778656783,-0.302329961879538,0.0635746117765619,0.579642624591596,0.178823628636803,1,0.101290807372671,0.116166599658037,0.306067801684965,-0.179829173654571,0.0999031413385485,0.855513061545767,-0.515070684410946,-0.0249358702444492,-0.563812837020808,-0.186534387932365
"V11",0.920614987248118,NA,1.23087930945101,0.257806822117928,0.83233368209871,-0.976336858309588,0.515269613355144,1.28824498383763,0.346552199979224,0.603529537125822,1,0.961294321868282,0.239509900934936,-0.122269259508858,NA,0.060474565897118,-0.452828898032535,-0.60745706524852,-1.07241346427751,-1.21642050005717
"V12",0.122960578441927,NA,0.127730708722073,-0.336900658538033,0.0792355357311902,-0.243562601689063,-0.234335766114622,0.751971743607423,0.243557880709822,0.797679018429231,0.0792269962187426,1,-0.244842028573742,0.437017905671081,0.0593238356582415,0.435003399972141,-0.316341906158312,-0.0590454215566223,-0.395710985441098,0.136236245466535
"V13",-0.0066261935127717,NA,-0.167457038584514,0.463883902226316,-0.0376201319532259,-0.280991270603131,0.742701566606276,0.05984173922548,0.116484241866758,-0.276369308132125,-0.0793733001537165,-0.0757936371635505,1,-0.482830625239006,-0.260280548285411,-0.19979792275094,-0.234365973888829,0.00208694087997137,-0.175494200639612,-0.0243855345617196
"V14",-0.210922158449696,NA,-0.286368086608967,-0.913370312219361,-0.889832536025953,NA,NA,NA,NA,0.152923546713218,-0.372232401155259,-0.541663540451268,NA,1,-0.748421553063265,-0.575790085549012,NA,0.128638029239564,-0.6036772327683,0.871900245749264
"V15",0.0593808377074544,NA,-0.0910692733269708,-0.0863812433866656,-0.131852539754473,0.0189803129498817,0.133941706379966,0.283573438435113,0.213301055370619,0.240510145901923,0.311644060012172,-0.254632831334826,-0.374861154294287,0.172075638414547,1,0.179821266006528,0.310345483282824,0.41146424710554,0.0437869500796226,-0.0403684507892148
"V16",-0.329448773175829,NA,0.0809992708395204,-0.0996126470942691,0.0022994895195096,-0.308946700066622,0.114241872469104,0.217514880204149,-0.618837918124509,-0.342294797399643,-0.31212618319835,0.0422491223741095,-0.0977388237622633,0.173331932973449,-0.0550801755566014,1,-0.259161747940213,0.126495078661897,-0.1424152536162,-0.148572448032307
"V17",0.488999898737452,NA,0.743508281163962,-0.524030660615985,-0.0418532364916592,-0.612171202520443,-0.67468032869553,0.766902788488829,0.137218696909235,0.403875974047829,0.0694975476576944,-0.636487850015601,-0.868127812076822,0.0563883616175723,-0.0801511806303219,0.191939703680591,1,0.383465434840415,-0.270599976565678,0.515877061328006
"V18",NA,NA,-0.171019912331275,0.280556772212717,1.0765265490603,-0.389957827212157,0.66037225516933,NA,0.0686837705529283,0.160327394164528,0.816746783544377,0.0412274962880965,0.354604440135847,-1.02350026163045,0.308495343335312,-0.00369267668202254,0.301784541814205,1,-1.21718844919015,-0.914742588652006
"V19",-0.330853013566557,NA,0.4380054279614,-0.334503512875426,0.298227545268377,0.0277880951655506,-0.650982857123909,-0.631928817662848,-0.116311280706535,-0.184102964633679,0.230395336508246,-0.243598671390898,0.0791930432336009,0.307957151453967,0.315011716502888,-0.30334774496179,-0.153777789036088,-0.0948968999928578,1,-0.0686163008440405
"V20",0.0877011243952145,NA,-0.592954788357708,-0.114436104208719,-0.251510743736878,-0.39674076728854,0.00997897917331309,0.279394690261773,-0.367571908404373,-0.544025645762189,-0.678036028233775,-0.192721457530672,-0.0246806190509456,-0.699907036699018,-0.29348586786514,-0.683141478077928,0.618526556906902,-0.38472565784321,0.279110303825569,1
