,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
V1,1.0,0.181169571941761,0.313805756109144,-0.0551821734403976,0.0165408466183509,0.0183507360408569,0.325320929952234,0.199655507474101,0.363197277432314,0.39750641713937,0.327223679221023,0.384453707432313,0.0465353742595777,-0.237194664422684,0.422993675573869,-0.160206950482135,-0.0122571440493692,0.39841102959108,-0.218767416212888,-0.371169747640056
V2,-0.0168565419030464,1.0,0.255083621275956,-0.131862868923619,-0.423170179633961,0.466247886671197,0.342064520258522,-0.707192388394583,0.289705873978368,0.0613034667131124,-0.560991288084741,0.271434200150579,-0.753339121050353,0.250413862746923,-0.784730950056702,0.707522806626212,-1.3701039281995,-0.26581565367332,0.254027511046298,-0.335650991751741
V3,-0.580364771095765,-0.100487515312975,1.0,-0.478520208532098,0.135911010576968,-0.452397547839248,0.0491380250462489,0.506055597572927,0.935215950379667,0.889781372209465,0.178443143867328,-0.486371152701982,0.047753736475566,-0.18741184761388,0.0884367789926035,0.13835224040826,-0.565770263517115,0.266579685057667,-0.38840276192976,0.257495624310988
V4,-0.181249012755869,-0.59055716103746,-0.232265614686538,1.0,0.0428259454902859,-0.179667980519553,0.162288680322758,-0.60740754127893,-0.115185704026881,-0.164174943131458,-0.4525425676968,0.163491531006227,-0.127324524795093,-0.103289485198649,-0.320242296894974,0.0685229994839833,0.206941844390968,0.327867878916004,0.70451409762362,0.407294325845342
V5,-0.129670106939117,-0.414212349541717,0.389228356383609,-0.297945012792052,1.0,-0.362062535650925,-0.0766811926187611,-0.122656800694171,0.250833069354158,0.273311802569637,-0.0419456304707132,0.209905647182824,-0.029529284216966,0.0612238856080851,0.0199156939127821,-0.0426770882931244,-0.17456962430984,0.241298161961231,-0.0767415031943174,0.198581544288936
V6,-0.215035417923806,0.0355630644238666,0.208863163664719,0.0288316329175429,0.0453365427712705,1.0,-0.296651644425557,-0.0917163339475742,-0.154571496619279,0.0112566761653082,0.0277638939689294,0.0252512754538772,-0.145267860235535,0.142532802976446,-0.015989269203526,-0.0009684056671437,-0.189090033056939,0.322127644074171,0.168061718327167,-0.0064543497868354
V7,0.411656466966594,-0.307869105259351,0.337685736923155,-0.228416535780963,0.180047995688789,-0.711184710560521,1.0,-0.0712241709497607,0.600424019654132,0.294068979021915,-0.445038820495393,0.404827806485445,-0.125180470215107,-0.255313257620976,0.0888851742526378,0.0275878297285603,-0.0394229336493111,-0.032096421211813,-0.0853120718211278,-0.354395793437298
V8,-0.116410189473306,0.0019723647370548,-0.313983405855257,-0.197772597200948,-0.176645120877447,-0.33395994424029,-0.464359908135868,1.0,-0.73419565676243,0.0420999326049094,0.148116997749785,0.160192420642231,-0.751633027857093,0.315512154065349,-0.164780465903264,0.0381680886480638,0.0617704635673411,0.236676046509481,0.73923236442545,-0.0092257041478445
V9,-0.0148267375922777,-0.0440462004172739,0.342352989136797,-0.274980768788412,0.000915861223229,0.272787302553275,-0.0153632263803221,0.306904036135599,1.0,0.550930513670549,0.278736233270127,0.181980795187479,0.0995179908475235,-0.0904252763216693,-0.288799502208883,-0.0180107824995175,-0.177954427597778,0.258054198722201,-0.226083067109531,-0.0245995861031246
V10,0.131220642680545,0.132980658279305,0.197897371994072,-0.455947406138698,-0.0817959302788348,0.137744439211159,0.0481116146624277,0.198934269518863,0.115189829307277,1.0,0.0833960068161399,0.217200312795737,-0.10837591384961,0.211931341146991,-0.128846790474795,0.356358255490746,-0.415667418689447,-0.0208913450633641,-0.283872302576954,-0.222584636953973
